epoch,train_loss,val_scoretrack,val_loss,val_ccc,val_rmse,val_mae,val_f1,val_acc,val_kappa,val_cls_loss,val_reg_loss
54,0.007953,0.051419,5.693691,-0.138166,1.086808,0.871203,0.315152,0.444444,-0.022727,4.51254,1.181151
55,0.007278,-0.012592,5.304296,-0.108307,0.955563,0.813588,0.244444,0.333333,-0.173913,4.391196,0.9131
56,0.0093,-0.020484,5.886185,-0.131982,1.023859,0.824015,0.244444,0.333333,-0.173913,4.837898,1.048287
57,0.004968,-0.032162,5.670814,-0.167018,1.058606,0.839742,0.244444,0.333333,-0.173913,4.550168,1.120646
58,0.005783,0.064815,5.901475,-0.097979,0.976418,0.793103,0.315152,0.444444,-0.022727,4.948083,0.953392
59,0.00552,-0.006408,5.920402,-0.167796,1.001916,0.854671,0.228571,0.333333,-0.08,4.916567,1.003835
60,0.006756,0.000701,5.699808,-0.068429,0.945445,0.805128,0.244444,0.333333,-0.173913,4.805943,0.893866
61,0.005674,0.079331,5.796333,-0.054432,0.989343,0.795953,0.315152,0.444444,-0.022727,4.817534,0.978799
62,0.008367,0.06845,5.117211,-0.087073,0.986622,0.777816,0.315152,0.444444,-0.022727,4.143789,0.973423
63,0.008347,0.067992,6.064179,-0.088447,0.964413,0.82106,0.315152,0.444444,-0.022727,5.134087,0.930092
64,0.006397,0.003799,5.995046,-0.137174,0.97852,0.810691,0.228571,0.333333,-0.08,5.037544,0.957501
65,0.00516,0.069123,6.044223,-0.085055,1.002312,0.797623,0.315152,0.444444,-0.022727,5.039594,1.004629
66,0.005246,0.227815,6.026577,-0.029107,0.898143,0.756959,0.423077,0.666667,0.289474,5.219916,0.806662
67,0.006228,0.070916,5.299596,-0.079676,0.965387,0.78812,0.315152,0.444444,-0.022727,4.367624,0.931972
68,0.006442,0.086567,5.561523,-0.07315,0.980657,0.793548,0.311111,0.444444,0.021739,4.599835,0.961688
69,0.007259,0.013668,5.710156,-0.077382,1.020627,0.816452,0.243386,0.333333,-0.125,4.668477,1.041679
70,0.005351,0.011023,5.105913,-0.085316,0.985717,0.790956,0.243386,0.333333,-0.125,4.134276,0.971637
71,0.004971,0.097824,4.656971,-0.039378,0.910533,0.773725,0.311111,0.444444,0.021739,3.827901,0.82907
