epoch,train_loss,val_scoretrack,val_loss,val_ccc,val_rmse,val_mae,val_f1,val_acc,val_kappa,val_cls_loss,val_reg_loss
1,2.309764,0.103627,1.639172,0.003188,0.968185,0.887037,0.307692,0.444444,0.0,0.701791,0.937381
2,2.166978,0.10444,1.694039,0.005627,0.99806,0.867919,0.307692,0.444444,0.0,0.697915,0.996124
3,2.171925,0.105181,1.687581,0.007851,0.973543,0.877683,0.307692,0.444444,0.0,0.739796,0.947785
4,2.169873,0.120964,1.653663,0.00575,0.981047,0.874709,0.357143,0.555556,0.0,0.69121,0.962453
5,2.215592,0.120181,1.65406,0.003399,0.978002,0.880632,0.357143,0.555556,0.0,0.697572,0.956489
6,2.14703,0.102708,1.64409,0.000431,0.967923,0.894137,0.307692,0.444444,0.0,0.707216,0.936874
7,2.100992,0.227426,1.763888,0.000461,1.032182,0.879781,0.5,0.555556,0.181818,0.698488,1.0654
8,2.002498,0.119733,1.630597,0.002057,0.971074,0.892736,0.357143,0.555556,0.0,0.687613,0.942984
9,1.842336,0.101247,1.711235,-0.003952,0.99787,0.882009,0.307692,0.444444,0.0,0.715491,0.995744
10,1.646167,-0.018704,1.715179,-0.031112,1.008245,0.907623,0.325,0.333333,-0.35,0.698621,1.016558
11,1.27415,0.195697,2.028585,-0.094727,1.073903,0.938695,0.5,0.555556,0.181818,0.875316,1.153269
12,0.542109,-0.096807,2.50819,-0.265421,1.164037,1.104232,0.325,0.333333,-0.35,1.153207,1.354983
13,0.553398,0.084787,2.847056,-0.114713,1.045176,0.985588,0.415584,0.444444,-0.046512,1.754663,1.092393
14,0.34254,0.097784,3.472972,-0.075721,1.166154,0.932189,0.415584,0.444444,-0.046512,2.113055,1.359916
15,0.114809,0.232908,3.335864,0.005866,1.102635,0.882147,0.55,0.555556,0.142857,2.120061,1.215803
16,0.037926,0.1142,3.764619,-0.004284,1.211709,0.908292,0.444444,0.444444,-0.097561,2.296381,1.468238
17,0.019447,0.230292,3.516653,-0.001981,1.08911,0.889962,0.55,0.555556,0.142857,2.330493,1.18616
18,0.022044,0.242515,3.559976,0.034687,1.112012,0.899257,0.55,0.555556,0.142857,2.323405,1.236572
19,0.026753,0.243658,4.246371,0.049156,1.188364,0.929459,0.5,0.555556,0.181818,2.834161,1.41221
20,0.090531,0.22849,3.731448,-0.007388,1.225631,0.905899,0.55,0.555556,0.142857,2.229278,1.50217
21,0.067488,0.135398,3.346677,0.059309,1.122591,0.869031,0.444444,0.444444,-0.097561,2.086468,1.26021
22,0.014375,0.246793,3.942307,0.047522,1.125435,0.882828,0.55,0.555556,0.142857,2.675703,1.266604
23,0.215268,0.103104,4.771098,0.00162,1.088422,0.897931,0.307692,0.444444,0.0,3.586435,1.184663
24,0.184541,0.238284,4.166084,0.033035,1.173825,0.912262,0.5,0.555556,0.181818,2.788219,1.377865
25,0.295563,0.119499,4.146992,-0.010575,1.195603,0.927812,0.415584,0.444444,-0.046512,2.717526,1.429466
26,0.02164,0.001593,4.253443,-0.017949,1.161853,0.923932,0.25,0.333333,-0.227273,2.903541,1.349902
27,0.013579,0.341426,4.384909,0.002834,1.246489,0.964897,0.649351,0.666667,0.372093,2.831173,1.553735
28,0.011476,0.243473,4.241586,0.03756,1.27835,0.954063,0.55,0.555556,0.142857,2.607407,1.63418
29,0.156486,0.249744,4.305167,0.056374,1.306123,0.975443,0.55,0.555556,0.142857,2.599211,1.705956
30,0.011683,0.237283,4.434837,0.030032,1.198361,0.949789,0.5,0.555556,0.181818,2.998768,1.436069
31,0.010897,0.360405,4.261862,0.059772,1.261592,0.944735,0.649351,0.666667,0.372093,2.670248,1.591614
32,0.00895,0.35294,4.841644,0.037376,1.393588,1.070233,0.649351,0.666667,0.372093,2.899556,1.942089
33,0.009617,0.251639,4.527709,0.062061,1.285145,0.950524,0.55,0.555556,0.142857,2.876112,1.651597
34,0.014638,0.247483,4.591533,0.060632,1.270556,0.969432,0.5,0.555556,0.181818,2.97722,1.614313
35,0.010779,0.247269,4.710998,0.05999,1.221304,0.948898,0.5,0.555556,0.181818,3.219415,1.491583
36,0.007654,0.241466,4.507079,0.031542,1.195641,0.901937,0.55,0.555556,0.142857,3.077521,1.429558
37,0.008351,-0.161104,4.406175,-0.049746,1.168003,0.941447,0.181818,0.222222,-0.615385,3.041945,1.36423
38,0.008849,0.249128,4.11984,0.054527,1.136427,0.855916,0.55,0.555556,0.142857,2.828374,1.291466
39,0.007726,0.239022,4.401876,0.024209,1.231001,0.907167,0.55,0.555556,0.142857,2.886513,1.515363
40,0.00709,-0.153177,4.313687,-0.025964,1.166925,0.950856,0.181818,0.222222,-0.615385,2.951973,1.361714
41,0.071964,0.23171,5.796108,0.013312,1.246791,0.967391,0.5,0.555556,0.181818,4.241619,1.554488
42,0.008515,0.131623,4.687889,0.047987,1.266208,0.923474,0.444444,0.444444,-0.097561,3.084606,1.603283
43,0.012704,0.357993,4.503566,0.052535,1.162551,0.859814,0.649351,0.666667,0.372093,3.15204,1.351525
44,0.008833,0.242957,4.642446,0.036014,1.253719,0.920002,0.55,0.555556,0.142857,3.070634,1.571811
45,0.010915,0.243968,4.584388,0.039046,1.337298,0.984816,0.55,0.555556,0.142857,2.796021,1.788367
46,0.0071,0.230464,5.102275,-0.001466,1.382248,1.02844,0.55,0.555556,0.142857,3.191665,1.910609
47,0.052772,0.011422,4.677076,-0.057211,1.165217,0.955806,0.307692,0.444444,-0.216216,3.319345,1.357731
48,0.012484,-0.010768,3.977152,-0.007303,1.160923,0.89176,0.325,0.333333,-0.35,2.62941,1.347742
49,0.007563,-0.001686,3.880854,0.019941,1.203756,0.906252,0.325,0.333333,-0.35,2.431825,1.449028
50,0.006614,-0.000314,3.865436,0.024059,1.191253,0.899176,0.325,0.333333,-0.35,2.446353,1.419083
51,0.005857,-0.010289,3.735988,-0.005868,1.155923,0.888266,0.325,0.333333,-0.35,2.39983,1.336158
52,0.006111,-0.00988,4.146711,-0.004641,1.184708,0.891376,0.325,0.333333,-0.35,2.743177,1.403534
53,0.008623,0.337903,4.303307,-0.007736,1.209378,0.914074,0.649351,0.666667,0.372093,2.840711,1.462596
54,0.005875,0.11483,3.314816,-0.002394,1.127759,0.878083,0.444444,0.444444,-0.097561,2.042976,1.27184
55,0.005086,0.3332,4.478716,-0.021844,1.224306,0.916457,0.649351,0.666667,0.372093,2.97979,1.498926
56,0.006376,-0.011867,3.513189,-0.0106,1.105649,0.897895,0.325,0.333333,-0.35,2.29073,1.222459
57,0.006406,-0.012823,3.421312,-0.013469,1.121953,0.875665,0.325,0.333333,-0.35,2.162534,1.258778
58,0.007965,0.333719,4.864662,-0.020286,1.217201,0.932911,0.649351,0.666667,0.372093,3.383085,1.481577
59,0.005404,-0.063656,4.222129,-0.019915,1.021152,0.931547,0.25,0.333333,-0.421053,3.179377,1.042751
60,0.006936,0.344597,4.236364,0.012348,1.124577,0.878769,0.649351,0.666667,0.372093,2.97169,1.264674
61,0.004635,0.111446,4.366295,-0.012544,1.19408,0.895638,0.444444,0.444444,-0.097561,2.940468,1.425827
62,0.004039,0.354763,4.868639,0.042846,1.158364,0.884648,0.649351,0.666667,0.372093,3.526831,1.341808
63,0.007502,0.240761,4.246028,0.029427,1.134036,0.852003,0.55,0.555556,0.142857,2.959991,1.286037
64,0.003951,0.108365,4.116543,-0.021788,1.148007,0.895197,0.444444,0.444444,-0.097561,2.798624,1.317919
65,0.004367,0.110134,4.448426,-0.016481,1.247906,0.90715,0.444444,0.444444,-0.097561,2.891155,1.557271
66,0.004307,0.33516,5.028762,-0.015963,1.276246,0.949842,0.649351,0.666667,0.372093,3.399958,1.628805
67,0.00431,0.347039,4.59079,0.019674,1.112424,0.87359,0.649351,0.666667,0.372093,3.353302,1.237488
68,0.005998,0.229825,4.762203,-0.003382,1.356763,1.019139,0.55,0.555556,0.142857,2.921397,1.840806
69,0.005916,0.089957,4.198225,-0.077011,1.236699,0.929019,0.444444,0.444444,-0.097561,2.668802,1.529423
70,0.007303,0.088142,4.377261,-0.082457,1.18093,0.921976,0.444444,0.444444,-0.097561,2.982666,1.394595
71,0.00622,-0.030474,3.824367,-0.066423,1.114806,0.923083,0.325,0.333333,-0.35,2.581574,1.242793
72,0.009239,-0.029287,4.14678,-0.062861,1.061047,0.939613,0.325,0.333333,-0.35,3.02096,1.12582
73,0.0075,0.094648,4.602455,-0.062938,1.240549,0.926903,0.444444,0.444444,-0.097561,3.063493,1.538962
74,0.005304,0.092274,3.908403,-0.070062,1.109125,0.914464,0.444444,0.444444,-0.097561,2.678244,1.230159
75,0.005674,0.313903,5.35085,-0.079736,1.22239,0.931142,0.649351,0.666667,0.372093,3.856612,1.494238
76,0.005076,0.09393,4.363675,-0.065094,1.158315,0.914174,0.444444,0.444444,-0.097561,3.02198,1.341695
77,0.003893,0.106874,4.42286,-0.026261,1.15848,0.900644,0.444444,0.444444,-0.097561,3.080784,1.342075
78,0.004233,0.337877,4.458948,-0.007812,1.119565,0.888295,0.649351,0.666667,0.372093,3.205522,1.253426
79,0.005159,0.100004,4.735341,-0.04687,1.15796,0.90837,0.444444,0.444444,-0.097561,3.39447,1.340871
80,0.008948,0.104483,5.055333,-0.033436,1.300261,0.964295,0.444444,0.444444,-0.097561,3.364655,1.690678
81,0.005448,0.335575,5.091732,-0.014717,1.217305,0.919475,0.649351,0.666667,0.372093,3.609902,1.48183
82,0.005219,-0.025233,4.367067,-0.050699,1.147801,0.921419,0.325,0.333333,-0.35,3.04962,1.317448
83,0.006098,0.11314,4.796917,-0.007464,1.196271,0.886212,0.444444,0.444444,-0.097561,3.365852,1.431064
84,0.004399,-0.009847,4.460281,-0.004542,1.080686,0.892846,0.325,0.333333,-0.35,3.292398,1.167883
