epoch,train_loss,val_scoretrack,val_loss,val_ccc,val_rmse,val_mae,val_f1,val_acc,val_kappa,val_cls_loss,val_reg_loss
56,0.006472,0.07515,3.981752,0.068306,0.828021,0.548129,0.357143,0.555556,-0.2,3.296133,0.685619
57,0.007567,0.078616,3.732268,0.078706,0.730942,0.516647,0.357143,0.555556,-0.2,3.197992,0.534276
58,0.00746,0.066828,3.794595,0.043341,0.799649,0.532796,0.357143,0.555556,-0.2,3.155156,0.639439
59,0.004812,0.061163,4.16766,0.026346,0.75136,0.546604,0.357143,0.555556,-0.2,3.603119,0.564541
60,0.008311,0.055031,3.811105,0.007951,0.840639,0.5655,0.357143,0.555556,-0.2,3.104431,0.706674
61,0.008126,0.051421,3.332665,-0.00288,0.817043,0.536263,0.357143,0.555556,-0.2,2.665105,0.66756
62,0.006393,0.059117,3.371681,0.020209,0.782144,0.523599,0.357143,0.555556,-0.2,2.759931,0.611749
63,0.005025,0.070088,3.199219,0.053121,0.812018,0.523395,0.357143,0.555556,-0.2,2.539845,0.659374
64,0.007127,0.079214,3.447761,0.080499,0.825228,0.522851,0.357143,0.555556,-0.2,2.766759,0.681002
65,0.009969,0.081697,3.667021,0.087947,0.740071,0.506746,0.357143,0.555556,-0.2,3.119316,0.547705
66,0.004171,0.071898,4.037851,0.058551,0.770169,0.521599,0.357143,0.555556,-0.2,3.444691,0.59316
67,0.006002,0.072848,2.936005,0.061401,0.774881,0.495697,0.357143,0.555556,-0.2,2.335564,0.600441
68,0.006376,0.06977,3.831805,0.052169,0.791622,0.518468,0.357143,0.555556,-0.2,3.205139,0.626665
69,0.007073,0.080572,3.279934,0.084573,0.756588,0.499018,0.357143,0.555556,-0.2,2.707509,0.572426
70,0.006468,0.087687,3.774178,0.105918,0.711704,0.512596,0.357143,0.555556,-0.2,3.267656,0.506523
71,0.006988,0.092843,3.65798,0.121386,0.715438,0.500167,0.357143,0.555556,-0.2,3.146128,0.511852
72,0.008163,0.092131,4.098432,0.119249,0.68026,0.568084,0.357143,0.555556,-0.2,3.635679,0.462753
73,0.005589,0.105069,3.885201,0.158063,0.658616,0.545156,0.357143,0.555556,-0.2,3.451426,0.433775
74,0.007162,0.096928,3.16219,0.133642,0.706753,0.495623,0.357143,0.555556,-0.2,2.66269,0.4995
75,0.006366,0.106245,3.664664,0.161591,0.68057,0.512241,0.357143,0.555556,-0.2,3.201488,0.463176
76,0.005133,0.108441,3.547133,0.168181,0.662793,0.497864,0.357143,0.555556,-0.2,3.107839,0.439295
77,0.00577,0.105589,3.908465,0.159625,0.669365,0.519439,0.357143,0.555556,-0.2,3.460415,0.448049
78,0.006189,0.105058,3.090978,0.158031,0.731599,0.4792,0.357143,0.555556,-0.2,2.555742,0.535237
79,0.004635,0.104147,3.115748,0.155298,0.721555,0.47874,0.357143,0.555556,-0.2,2.595105,0.520642
80,0.006066,0.295164,2.158478,0.119059,0.752038,0.4931,0.584615,0.666667,0.181818,1.592917,0.565561
81,0.005409,0.294559,2.339499,0.117242,0.797165,0.528114,0.584615,0.666667,0.181818,1.704026,0.635472
82,0.009056,0.302062,2.174415,0.139754,0.75579,0.496718,0.584615,0.666667,0.181818,1.603197,0.571218
83,0.007405,0.10662,3.176684,0.162718,0.717296,0.481694,0.357143,0.555556,-0.2,2.662171,0.514513
84,0.007275,0.11056,3.353671,0.174537,0.6877,0.496309,0.357143,0.555556,-0.2,2.88074,0.472931
85,0.005667,0.100576,2.805408,0.144586,0.762413,0.488493,0.357143,0.555556,-0.2,2.224135,0.581273
86,0.005834,0.116007,3.806313,0.190879,0.668306,0.506486,0.357143,0.555556,-0.2,3.35968,0.446633
87,0.006696,0.120531,3.206257,0.204449,0.661732,0.495241,0.357143,0.555556,-0.2,2.768367,0.43789
88,0.005255,0.105089,3.233127,0.158124,0.682965,0.503061,0.357143,0.555556,-0.2,2.766686,0.466441
89,0.007282,0.091627,3.386218,0.117738,0.769476,0.487006,0.357143,0.555556,-0.2,2.794124,0.592093
90,0.006303,0.096778,2.474589,0.133191,0.706255,0.470789,0.357143,0.555556,-0.2,1.975793,0.498795
91,0.004373,0.10345,2.885748,0.153208,0.665027,0.487016,0.357143,0.555556,-0.2,2.443488,0.442261
92,0.00577,0.095822,3.54726,0.130322,0.663977,0.503776,0.357143,0.555556,-0.2,3.106394,0.440866
93,0.004504,0.086271,2.891078,0.101671,0.720417,0.482684,0.357143,0.555556,-0.2,2.372077,0.519
94,0.006566,0.084786,3.596958,0.097214,0.686489,0.521565,0.357143,0.555556,-0.2,3.12569,0.471268
95,0.005021,0.069197,3.326795,0.05045,0.763706,0.511845,0.357143,0.555556,-0.2,2.743548,0.583247
96,0.004361,0.069381,2.860738,0.051,0.742159,0.499271,0.357143,0.555556,-0.2,2.309938,0.5508
97,0.004972,0.068049,3.921213,0.047003,0.705823,0.531042,0.357143,0.555556,-0.2,3.423027,0.498185
98,0.006464,0.060013,3.478939,0.022896,0.765833,0.511626,0.357143,0.555556,-0.2,2.892439,0.5865
99,0.007497,0.054266,3.860289,0.005655,0.730263,0.551904,0.357143,0.555556,-0.2,3.327006,0.533284
100,0.004822,0.063264,3.560178,0.03265,0.745094,0.527054,0.357143,0.555556,-0.2,3.005014,0.555165
101,0.006665,0.074978,3.757527,0.067791,0.725332,0.527514,0.357143,0.555556,-0.2,3.23142,0.526107
102,0.00516,0.339606,2.205724,0.061775,0.759422,0.497219,0.649351,0.666667,0.307692,1.629002,0.576722
103,0.007779,0.171792,4.976425,0.115375,0.689537,0.605809,0.4,0.666667,0.0,4.500963,0.475462
104,0.005164,0.092582,3.902853,0.120602,0.691145,0.51752,0.357143,0.555556,-0.2,3.425173,0.477681
105,0.004538,0.093614,2.821043,0.1237,0.703472,0.486866,0.357143,0.555556,-0.2,2.32617,0.494873
106,0.004834,0.088844,3.880846,0.109391,0.679258,0.524489,0.357143,0.555556,-0.2,3.419455,0.461391
107,0.003858,0.086596,3.198397,0.102646,0.735851,0.506078,0.357143,0.555556,-0.2,2.65692,0.541476
108,0.005351,0.089806,3.435991,0.112277,0.745196,0.500261,0.357143,0.555556,-0.2,2.880673,0.555318
109,0.006547,0.098599,3.163833,0.138655,0.677186,0.495191,0.357143,0.555556,-0.2,2.705252,0.458581
110,0.004131,0.099674,3.08416,0.141878,0.668544,0.494623,0.357143,0.555556,-0.2,2.637209,0.446951
111,0.006009,0.103365,3.722979,0.152951,0.690868,0.48622,0.357143,0.555556,-0.2,3.245681,0.477299
