epoch,train_loss,val_scoretrack,val_loss,val_ccc,val_rmse,val_mae,val_f1,val_acc,val_kappa,val_cls_loss,val_reg_loss
1,3.413602,0.038271,3.219913,-0.006399,1.224449,1.006023,0.121212,0.222222,0.0,1.720636,1.499276
2,3.100023,0.020539,3.396847,-0.005049,1.291127,1.050495,0.066667,0.111111,0.0,1.729839,1.667008
3,2.973578,0.019997,3.248977,-0.006676,1.211102,0.999365,0.066667,0.111111,0.0,1.78221,1.466767
4,2.704283,0.021197,3.622195,-0.003076,1.241114,1.012354,0.066667,0.111111,0.0,2.081832,1.540364
5,3.523708,0.032316,2.857622,-0.024264,1.154365,0.970394,0.121212,0.222222,0.0,1.525063,1.33256
6,2.584132,0.028337,3.104076,-0.0362,1.206399,0.999624,0.121212,0.222222,0.0,1.648677,1.455399
7,1.847246,0.036062,3.123575,-0.040773,1.211731,1.000679,0.133333,0.222222,0.015625,1.655284,1.468291
8,1.376005,0.024554,3.038997,-0.047549,1.140306,0.970429,0.121212,0.222222,0.0,1.738698,1.300299
9,1.203322,0.107708,2.98187,-0.061189,1.25416,1.017265,0.266667,0.444444,0.117647,1.408952,1.572918
10,0.581039,0.01922,2.887189,-0.039561,1.201624,0.991205,0.222222,0.444444,-0.125,1.443288,1.443901
11,0.542165,0.116303,3.676816,-0.035404,1.294758,1.062998,0.266667,0.444444,0.117647,2.000416,1.6764
12,0.432729,0.091672,2.530388,0.047176,0.930297,0.779417,0.25641,0.555556,-0.028571,1.664936,0.865452
13,0.491018,0.158258,2.626035,0.060029,0.901972,0.797172,0.285714,0.666667,0.129032,1.812481,0.813554
14,0.247934,0.206837,2.629226,0.205766,0.829988,0.742365,0.285714,0.666667,0.129032,1.940345,0.688881
15,0.185275,0.047492,4.69287,0.008596,1.205313,1.007866,0.166667,0.222222,-0.032787,3.24009,1.45278
16,0.274372,0.137616,2.960612,-0.001897,0.948612,0.848053,0.285714,0.666667,0.129032,2.060747,0.899865
17,0.097869,0.148228,3.242461,0.029939,0.935537,0.837973,0.285714,0.666667,0.129032,2.367231,0.87523
18,0.042633,0.151473,3.218668,0.039672,0.920509,0.810134,0.285714,0.666667,0.129032,2.37133,0.847337
19,0.049645,0.109913,3.785822,-0.085008,1.097231,0.917994,0.285714,0.666667,0.129032,2.581906,1.203916
20,0.033111,0.216563,3.398821,0.234941,0.840582,0.718032,0.285714,0.666667,0.129032,2.692244,0.706578
21,0.028225,0.168559,3.576794,0.090929,0.900057,0.778228,0.285714,0.666667,0.129032,2.766691,0.810103
22,0.018555,0.127209,4.019873,-0.018102,1.009498,0.882621,0.277778,0.555556,0.121951,3.000786,1.019086
23,0.021981,0.135605,3.847756,-0.007931,0.947323,0.843001,0.285714,0.666667,0.129032,2.950336,0.89742
24,0.018601,0.133691,4.003691,-0.013673,1.005397,0.904189,0.285714,0.666667,0.129032,2.992869,1.010822
25,0.02344,0.188941,3.843974,0.152078,0.880971,0.757705,0.285714,0.666667,0.129032,3.067865,0.77611
26,0.016712,0.174902,3.956488,0.109959,0.902127,0.802909,0.285714,0.666667,0.129032,3.142654,0.813834
27,0.019119,0.156886,4.142848,0.055912,0.977692,0.878633,0.285714,0.666667,0.129032,3.186967,0.955881
